Node From,Node To
Position_(geometry),Euclidean_vector
Euclidean_vector,Mathematics
Euclidean_vector,Physics
Euclidean_vector,Magnitude_(mathematics)
Magnitude_(mathematics),Mathematical_object
Magnitude_(mathematics),Mathematics
Magnitude_(mathematics),Order_theory
Magnitude_(mathematics),Physics
Magnitude_(mathematics),Fraction
Fraction,Natural_number
Natural_number,Mathematics
Natural_number,Number
Natural_number,Integer
Natural_number,Blackboard_bold
Blackboard_bold,Mathematics
Blackboard_bold,John_Stillwell
John_Stillwell,Mathematician
John_Stillwell,Mathematics
John_Stillwell,Alonzo_Church
Alonzo_Church,Mathematician
Alonzo_Church,Theoretical_computer_science
Alonzo_Church,Mathematical_logic
Theoretical_computer_science,Mathematics
Theoretical_computer_science,Theory_of_computation
Theory_of_computation,Theoretical_computer_science
Theory_of_computation,Mathematics
Theory_of_computation,Model_of_computation
Model_of_computation,Computational_complexity_theory
Computational_complexity_theory,Algorithm
Algorithm,Mathematics
Algorithm,Well-defined_expression
Well-defined_expression,Mathematics
Well-defined_expression,Undefined_(mathematics)
Undefined_(mathematics),Indeterminate_form
Undefined_(mathematics),Mathematics
Indeterminate_form,Calculus
Calculus,Infinitesimal
Infinitesimal,Mathematics
Infinitesimal,0
0,Numerical_digit
0,Number
Numerical_digit,Number
Numerical_digit,Positional_notation
Positional_notation,Radix
Radix,Numerical_digit
Radix,Numeral_system
Numeral_system,Mathematical_notation
Numeral_system,Number
Numeral_system,Numerical_digit
Numeral_system,Numeral_system
Numeral_system,Hindu–Arabic_numeral_system
Hindu–Arabic_numeral_system,Decimal
Hindu–Arabic_numeral_system,Positional_notation
Decimal,Numeral_system
Decimal,Integer
Decimal,Number
Decimal,Hindu–Arabic_numeral_system
Decimal,Numeral_system
Decimal,Hindu–Arabic_numeral_system
Decimal,Arabic_numerals
Arabic_numerals,Numerical_digit
Arabic_numerals,Decimal
Arabic_numerals,Number
Arabic_numerals,Octal
Octal,Numeral_system
Octal,Radix
Octal,Numerical_digit
Octal,Numeral_system
Octal,Gray_code
Gray_code,Gray_code
Gray_code,Integer
Gray_code,Vertex_(graph_theory)
Vertex_(graph_theory),Mathematics
Vertex_(graph_theory),Graph_theory
Graph_theory,Mathematics
Graph_theory,Graph_(discrete_mathematics)
Graph_(discrete_mathematics),Mathematics
Graph_(discrete_mathematics),Graph_theory
Graph_(discrete_mathematics),Set_(mathematics)
Graph_(discrete_mathematics),Vertex_(graph_theory)
Graph_(discrete_mathematics),Discrete_mathematics
Discrete_mathematics,Bijection
Bijection,Mathematics
Bijection,Function_(mathematics)
Bijection,Set_(mathematics)
Bijection,Injective_function
Injective_function,Mathematics
Injective_function,Function_(mathematics)
Injective_function,Contraposition
Contraposition,Logic
Contraposition,Mathematics
Contraposition,Material_conditional
Material_conditional,Mathematical_logic
Material_conditional,Modus_ponens
Modus_ponens,Propositional_calculus
Modus_ponens,Rule_of_inference
Rule_of_inference,Modus_ponens
Rule_of_inference,Propositional_calculus
Rule_of_inference,Rule_of_inference
Rule_of_inference,Rule_of_inference
Rule_of_inference,Modus_ponens
Rule_of_inference,Disjunction_elimination
Disjunction_elimination,Logical_disjunction
Disjunction_elimination,Rule_of_inference
Logical_disjunction,Logic
Logical_disjunction,Exclusive_or
Logical_disjunction,Logical_connective
Exclusive_or,Logical_connective
Exclusive_or,Truth_table
Truth_table,Mathematical_table
Mathematical_table,Trigonometric_tables
Trigonometric_tables,Mathematics
Trigonometric_tables,Mathematical_table
Trigonometric_tables,Trigonometry
Trigonometry,Angle
Trigonometry,Mathematics
Trigonometry,Triangle
Trigonometry,Geometry
Trigonometry,Ptolemy's_table_of_chords
Ptolemy's_table_of_chords,Ptolemy
Ptolemy,Mathematician
Ptolemy,Almagest
Almagest,Greek_mathematics
Almagest,Aristotle
Almagest,Ptolemy
Almagest,Chord_(geometry)
Chord_(geometry),Circle
Circle,Shape
Circle,Point_(geometry)
Circle,Centre_(geometry)
Centre_(geometry),Geometry
Centre_(geometry),Isometry_group
Isometry_group,Mathematics
Isometry_group,Metric_space
Isometry_group,Set_(mathematics)
Isometry_group,Isometry
Isometry,Mathematics
Isometry,Congruence_(geometry)
Congruence_(geometry),Geometry
Congruence_(geometry),Shape
Congruence_(geometry),Similarity_(geometry)
Congruence_(geometry),Distance
Distance,Measurement
Measurement,Quantification_(science)
Quantification_(science),Quantity
Quantification_(science),Counting
Quantification_(science),Quantifier_(logic)
